"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 02 17:22:27 UTC 2022","Tue Aug 02 17:22:27 UTC 2022","114","","tests.CartTests","","tests.CartTests","list all products","Listando todos carrinhos",""
"passed","Tue Aug 02 17:22:26 UTC 2022","Tue Aug 02 17:22:27 UTC 2022","122","","tests.ProductTests","","tests.ProductTests","get product by id","consultando produto pelo _id",""
"passed","Tue Aug 02 17:22:29 UTC 2022","Tue Aug 02 17:22:29 UTC 2022","132","","tests.ProductTests","","tests.ProductTests","create a new product","Criando novo produto",""
"passed","Tue Aug 02 17:22:28 UTC 2022","Tue Aug 02 17:22:28 UTC 2022","220","","tests.LoginTests","","tests.LoginTests","login succeeded","Login bem sucedido",""
"passed","Tue Aug 02 17:22:29 UTC 2022","Tue Aug 02 17:22:29 UTC 2022","108","","tests.CartTests","","tests.CartTests","submit cart","Concluindo compra carrinho",""
"passed","Tue Aug 02 17:22:28 UTC 2022","Tue Aug 02 17:22:29 UTC 2022","163","","tests.UserTests","","tests.UserTests","create a new user","Criando novo usuario",""
"passed","Tue Aug 02 17:22:28 UTC 2022","Tue Aug 02 17:22:29 UTC 2022","378","","tests.CartTests","","tests.CartTests","create new cart","Criando um carrinho",""
"passed","Tue Aug 02 17:22:26 UTC 2022","Tue Aug 02 17:22:26 UTC 2022","513","","tests.ProductTests","","tests.ProductTests","create a new product","Criando novo produto",""
"passed","Tue Aug 02 17:22:27 UTC 2022","Tue Aug 02 17:22:27 UTC 2022","155","","tests.ProductTests","","tests.ProductTests","delete a product","deletando um produto",""
"passed","Tue Aug 02 17:22:28 UTC 2022","Tue Aug 02 17:22:28 UTC 2022","123","","tests.LoginTests","","tests.LoginTests","login failed","Login com falha",""
"passed","Tue Aug 02 17:22:29 UTC 2022","Tue Aug 02 17:22:30 UTC 2022","148","","tests.ProductTests","","tests.ProductTests","update a product","alterando um produto",""
"passed","Tue Aug 02 17:22:30 UTC 2022","Tue Aug 02 17:22:30 UTC 2022","114","","tests.ProductTests","","tests.ProductTests","delete a product","deletando um produto",""
"passed","Tue Aug 02 17:22:28 UTC 2022","Tue Aug 02 17:22:28 UTC 2022","131","","tests.LoginTests","","tests.LoginTests","login failed - email required","Email obrigatório",""
"passed","Tue Aug 02 17:22:28 UTC 2022","Tue Aug 02 17:22:28 UTC 2022","203","","tests.UserTests","","tests.UserTests","list all users","Listando todos Usuarios",""
"passed","Tue Aug 02 17:22:26 UTC 2022","Tue Aug 02 17:22:26 UTC 2022","168","","tests.UserTests","","tests.UserTests","get user by _id","Listando usuário por _id",""
"passed","Tue Aug 02 17:22:27 UTC 2022","Tue Aug 02 17:22:27 UTC 2022","127","","tests.LoginTests","","tests.LoginTests","login failed - email required","Email obrigatório",""
"passed","Tue Aug 02 17:22:27 UTC 2022","Tue Aug 02 17:22:27 UTC 2022","317","","tests.CartTests","","tests.CartTests","create new cart","Criando um carrinho",""
"passed","Tue Aug 02 17:22:27 UTC 2022","Tue Aug 02 17:22:28 UTC 2022","122","","tests.LoginTests","","tests.LoginTests","login failed - password required","Password obrigatório",""
"passed","Tue Aug 02 17:22:27 UTC 2022","Tue Aug 02 17:22:27 UTC 2022","255","","tests.LoginTests","","tests.LoginTests","login succeeded","Login bem sucedido",""
"passed","Tue Aug 02 17:22:29 UTC 2022","Tue Aug 02 17:22:29 UTC 2022","115","","tests.ProductTests","","tests.ProductTests","get product by id","consultando produto pelo _id",""
"passed","Tue Aug 02 17:22:28 UTC 2022","Tue Aug 02 17:22:28 UTC 2022","121","","tests.CartTests","","tests.CartTests","cancel cart","cancelando carrinhos existentes",""
"passed","Tue Aug 02 17:22:27 UTC 2022","Tue Aug 02 17:22:27 UTC 2022","142","","tests.ProductTests","","tests.ProductTests","update a product","alterando um produto",""
"passed","Tue Aug 02 17:22:27 UTC 2022","Tue Aug 02 17:22:27 UTC 2022","137","","tests.CartTests","","tests.CartTests","submit cart","Concluindo compra carrinho",""
"passed","Tue Aug 02 17:22:29 UTC 2022","Tue Aug 02 17:22:29 UTC 2022","121","","tests.ProductTests","","tests.ProductTests","list all products","Listando todos Produtos",""
"passed","Tue Aug 02 17:22:26 UTC 2022","Tue Aug 02 17:22:26 UTC 2022","227","","tests.ProductTests","","tests.ProductTests","list all products","Listando todos Produtos",""
"passed","Tue Aug 02 17:22:25 UTC 2022","Tue Aug 02 17:22:26 UTC 2022","518","","tests.UserTests","","tests.UserTests","create a new user","Criando novo usuario",""
"passed","Tue Aug 02 17:22:26 UTC 2022","Tue Aug 02 17:22:26 UTC 2022","148","","tests.UserTests","","tests.UserTests","update an user","Alterando um usuário",""
"passed","Tue Aug 02 17:22:29 UTC 2022","Tue Aug 02 17:22:29 UTC 2022","407","","tests.CartTests","","tests.CartTests","list all products","Listando todos carrinhos",""
"passed","Tue Aug 02 17:22:29 UTC 2022","Tue Aug 02 17:22:29 UTC 2022","117","","tests.UserTests","","tests.UserTests","update an user","Alterando um usuário",""
"passed","Tue Aug 02 17:22:29 UTC 2022","Tue Aug 02 17:22:29 UTC 2022","118","","tests.UserTests","","tests.UserTests","get user by _id","Listando usuário por _id",""
"passed","Tue Aug 02 17:22:27 UTC 2022","Tue Aug 02 17:22:27 UTC 2022","134","","tests.CartTests","","tests.CartTests","cancel cart","cancelando carrinhos existentes",""
"passed","Tue Aug 02 17:22:27 UTC 2022","Tue Aug 02 17:22:27 UTC 2022","121","","tests.LoginTests","","tests.LoginTests","login failed","Login com falha",""
"passed","Tue Aug 02 17:22:28 UTC 2022","Tue Aug 02 17:22:28 UTC 2022","133","","tests.LoginTests","","tests.LoginTests","login failed - password required","Password obrigatório",""
"passed","Tue Aug 02 17:22:24 UTC 2022","Tue Aug 02 17:22:25 UTC 2022","1345","","tests.UserTests","","tests.UserTests","list all users","Listando todos Usuarios",""
